t;"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";GW[0] Received RSSI (position=240,240);GW[1] Received RSSI (position=200,140);"SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)"
114526.84103389193;188;none;-131.80830150327;10;2;242.04454619905;72.932245632487;1.8040272419615
114633.34077502641;189;none;none;10;2;422.33426162479;35.71535464603;1.7819982112564
114755.31104126867;190;none;none;10;2;346.85151222735;107.25968653793;1.6743042984087
115117.45378903084;191;none;none;10;2;34.512346851753;392.0967615117;1.4638801851648
115301.51519382849;192;-124.12331127281;-132.39893430083;10;2;216.27361356663;223.06634089785;1.1935700993738
115479.41224856994;193;none;none;10;2;398.67256100372;68.148359272437;1.1343050798184
115544.61690126602;194;none;none;10;2;440.55676642831;60.256677399523;1.5278042167448
115601.58718717529;195;none;none;10;2;436.10021100605;122.51777258195;1.5681604566366
115836.34249873784;196;none;none;10;2;388.90333476794;198.53760299209;1.7261847028078
115909.60235095613;197;none;none;10;2;358.799219434;120.2645701195;1.6845571054563
116060.48528112639;198;none;-124.09951824425;10;2;226.78191267546;127.9125631425;1.7332937674903
116121.28328908946;199;none;-124.70284731389;10;2;168.09885641293;144.22694794601;1.7634701473109
116193.26128918045;200;none;none;10;2;98.624721149006;163.54134376608;1.7991955854008
116353.48679192027;201;none;none;10;2;45.616355074616;295.33413099829;1.0905305059491
116451.97994630203;202;none;-131.69696156307;10;2;139.99757909057;189.80368230093;1.1428677921588
116751.93885619863;203;-132.70468844411;none;10;2;325.29150877869;219.40904202713;1.3858280080428
116914.40170111261;204;-123.73806705974;none;10;2;229.50279735525;265.71510398807;1.7372169935678
117026.02984164321;205;none;none;10;2;326.59820706524;328.98246199547;1.6212575509633
117167.80715628602;206;none;none;10;2;311.62048648415;174.8826079077;1.5755746793925
117219.13160347913;207;none;none;10;2;306.19843972741;119.09730936739;1.5590371385633
117347.34108944464;208;none;-130.84096800812;10;2;231.37006178298;76.778397111374;1.4512411433037
117423.58163295421;209;none;-131.10616091958;10;2;127.43596595522;145.72255099999;1.3226585127686
117542.84556407769;210;none;-132.71687495353;10;2;113.09962405213;152.79505719164;1.2526372282711
117601.72840029;211;none;-126.23457682159;10;2;181.62905305522;104.88990167872;1.2849391367571
117729.63059362798;212;none;none;10;2;339.02621018363;20.281903065521;1.8312314670562
117998.442146318;213;none;-125.07321275661;10;2;169.47944543306;125.25504040474;1.6665172785757
118088.83504738024;214;none;none;10;2;75.494978962952;24.1449781271;1.9306549065185
118139.11811860993;215;none;none;10;2;140.05680426204;28.957586374254;1.9328602771876
118188.82140395354;216;none;none;10;2;203.8742033721;33.714703135532;1.9350402189647
118559.3602617614;217;none;none;10;2;458.75046781417;336.97280059307;1.8642749264261
118794.66318845166;218;-124.90721369304;-131.51730643511;10;2;236.79482306137;207.05135335124;1.6817002593183
118984.84194694192;219;none;-130.94804893091;10;2;135.59210423987;171.04549681515;1.5429048624679
119056.59302226433;220;-129.95660294177;none;10;2;176.91745341299;247.53422381905;1.5066211128023
119154.45329864147;221;none;none;10;2;233.28051240954;351.85611628829;1.4571342200369
119271.09266462237;222;-128.34864329207;none;10;2;199.11588885106;272.54926395836;1.6748989007673
119321.20565443359;223;none;-129.98507686926;10;2;160.32102969122;190.01452380338;1.8343160973722
119518.87696741854;224;none;none;10;2;346.09113837175;321.78672263625;1.3126628607715
119658.54098432715;225;none;none;10;2;409.14221797598;332.67069438422;1.4065964596083
119869.21003024081;226;-124.44856383647;none;10;2;268.30292245231;252.36754322362;1.582243045421
120033.11257620697;227;-127.78314935303;none;10;2;196.52568741562;261.46058261066;1.1505806535982
120106.42337314327;228;-132.65277644649;none;10;2;310.74965137254;189.00402950463;1.3699835083733
120161.65826900996;229;none;none;10;2;396.80994560345;134.41275055361;1.5352892251681
120283.21149787715;230;none;none;10;2;370.79741050681;80.992041723896;1.6943091164084
120360.88048363523;231;none;-131.86712573923;10;2;251.02679121605;78.806058715058;1.6978641067716
120749.15923906958;232;none;none;10;2;58.000407807086;306.32339666193;1.95540953008
120916.62418033256;233;-119.61214563127;none;10;2;233.91167261333;248.59720114816;1.7721274043874
121003.89635539937;234;-132.74780382734;none;10;2;325.58553929021;218.51394549582;1.6766123094701
121063.92827075201;235;none;none;10;2;377.10067282953;208.8755993128;1.6240459549151
121230.63506965286;236;none;none;10;2;229.66089471037;340.95672592528;1.7655816693231
121291.16130815057;237;-130.28466860825;none;10;2;179.45607229272;266.64821313865;1.7702552985054
121358.94011555057;238;none;-132.74185262728;10;2;123.23544676473;183.43566761534;1.7754889462599
121571.23510325235;239;none;-126.74613688897;10;2;184.66016294141;100.46021349371;1.2365191083857
121665.00448482256;240;none;-120.27101790183;10;2;205.65700587823;151.12503819885;1.1034937984467
121752.52894516002;241;-128.48844611807;none;10;2;288.48406396293;218.63476220331;1.1318819774469
121856.736774957;242;none;none;10;2;372.0260526603;241.08478169563;1.3623794871106
121936.23335054499;243;none;none;10;2;349.55853637587;119.93660589921;1.7868261828108
122123.2413370486;244;-131.56259388921;-129.05279089258;10;2;251.72179945565;163.99395159121;1.743122388515
122180.82847520517;245;-121.95033316313;none;10;2;258.93648387141;247.16262434549;1.7267286226771
122256.26196579144;246;none;none;10;2;310.32255395586;322.11441555851;1.555891676593
122387.94467411858;247;none;none;10;2;442.27294889861;402.1984374716;1.0864327560632
122606.53155801855;248;none;none;10;2;172.31170771608;312.47644096826;1.2706235277513
